1,2,3,4,5,6,7
vq11_10,0.371526020874923,0,0,0.0368903204357455,0.0806967208082953,0.0199133603489853,0
phq9_2,0.289278392800668,0.0139438135971233,0,0.0157822220584534,0.16401257390212,0.0343794092774008,0
stress,0.25454463194829,0.015267522607037,0.0205255233749112,0.010863000345244,0.0412426468151664,0.052691464408732,0.0129038853719708
phq9_6,0.168254008617997,0.00305267357795801,-0.011903099901889,0.0401075997984006,0.0466170469621295,0.0981667531288069,0
vq11_3,0.15235581572384,0,0.0482117753202389,0.0262021776790244,0,0.124948514298301,0.0141273462998463
phq9_3,0.148041935733392,0.0463169090460837,0.0469632550504438,0.031064480563161,0.0695459511274402,0.0830406889070898,0
phq9_9,0.105918702385419,0,0,0.0350250403352017,0.0314309159867115,0.0204946543998753,0
H/A,0.0445218163231745,0.0259173222498556,0.000859822623442389,0,0.00179509701505511,0.0299451742492274,0.0304406403003006
fss_5,0,0.331092404631024,0.0967868671782835,0.0753826778452852,0.0273846797738574,0,0
fss_8,0,0.271223655574616,0.029870237603644,0.204249087920043,0,0.00872137037066759,0
fss_3,0.00325808672335438,0.213597891828563,0.141243959100073,0,0.0583731231383287,0,0
phq9_4,0.0360754734119684,0.161591780218271,0.132943009999597,0.03748521960972,0.133602215682918,0.0446073525179035,0.00351251855390857
fss_1,0.0543539511914815,0.130800051365542,0.0379050146512933,0.0796495067957212,0.0496586478087458,0.0139196096641172,0
vq11_8,0.00884290991480792,0.0755075077740714,0.24530323299584,0.0551135460784704,0.0188477562877069,0,0.0312351122222254
fss_6,0,0.105931373506719,0.234869721894042,0.112122283210483,0.0402712794918122,0,0.0487215540646528
fss_4,0,0.0718904711991497,0.226722514620598,0.0224374389270892,0.0204876985057156,0,0.0177501340083317
vq11_7,0.013803635016655,0.153516580295249,0.213250140771613,0.119402675924614,0.0242846440224428,0.135454209268979,0.0208673753277817
fss_2,-0.0113482166315454,0.0102570990066172,0.161627863145731,0,0.00524435280866782,0,0.0248676309655931
pain,0.0243908319923994,0,0.0994879449742754,0,0.00691065466304204,0.04910125096128,0.0508607490594783
vq11_5,0.064089339023499,0.0494607730995813,0.0839955569525588,0,0.0286968620417,0.00802741805930665,0.0026465914143998
fss_7,0.00557709633855691,0.0950819549628701,0.0845113769462756,0.286430413097848,0.00327471447383137,0.0712273216096817,0
fss_9,0.0117522056569317,0.169394485659249,0.0584280960572346,0.234717979262931,0.0564819739517528,0.0301589396494699,0.019105466903849
vq11_6,0.118488692502538,0.042290044058831,0.0817813463004528,0.122165498041966,0.0344672442184827,0.000314318718069147,0
who5_3,0,0.108007100064706,0.082687533721564,0.074553614157047,0.281741185532337,0.00209480130996486,0.000136290948874974
who5_1,0.192305005715738,0,0.00552862842834398,0.0201956721900406,0.22024913858812,0.0240903889079962,0.0187813140433416
who5_4,0.0696037227903073,0.0946052284316431,0.0262284984300777,0,0.206299252114082,0.074559649040726,0
who5_5,0.0771548801293041,0.0310890907378171,0.00380024284046186,0.0111193304868543,0.185277810686905,0.0569840128762522,0
phq9_8,0.0517318987416222,0.000448656206814949,0.0287092311329259,0.00791247271001968,0.0115080744702044,0.161831667503172,0.0175806065283604
phq9_5,0.0854495794470662,0.0374479329649403,0,0,0.0558892279889445,0.137001196419998,0
phq9_7,0.103186009592519,0.00564714411323813,0.0452448376319722,0.0772590964758621,0.0423769289082609,0.119499179486892,0
bowPb,0.0287497844149927,0,0.0433105503673485,0,0.00779030872786377,0.0487297615121532,0
vq11_4,0,0.00220978796453778,0.10117005630902,0,0.00428355352238271,0.00557007876065193,0.427050928489049
vq11_2,0.00727822028018268,0,0.0137817163950888,0.00794109866165473,0,0,0.35727340344023
vq11_9,0.0251378259004604,0,0.00156575590935499,0.00760483144020637,0.0094164032094956,0.0115112515194133,0.327460992246027
